English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
"the US, the United States of America",A2,noun,ایالات متحده آمریکا,X,eyâlât-e mottahede-ye âmrikâ,کشوری بزرگ در آمریکای شمالی,X,ایالات متحده آمریکا بزرگ است.,The United States of America is big.,,
Italy,A1,noun,ایتالیا,X,itâliyâ,کشوری در جنوبِ اروپا,X,ایتالیا در اروپا است.,Italy is in Europe.,,
Italian,A2,adjective,ایتالیایی,X,itâliyâyi,مربوط به ایتالیا,X,من غذای ایتالیایی دوست دارم.,I like Italian food.,,
Iran,A1,noun,ایران,X,irân,کشوری در خاورمیانه,X,ایران کشور من است.,Iran is my country.,,
Iranian,A1,noun,ایرانی,X,irâni,شخصی از کشورِ ایران,X,او یک ایرانی است و فارسی صحبت می‌کند.,He is Iranian and speaks Persian.,,
Iranian,A1,adjective,ایرانی,X,irâni,مربوط به کشورِ ایران,X,این غذا ایرانی است.,This food is Iranian.,,
Ireland,A2,noun,ایرلند,X,irland,کشوری در غربِ اروپا,X,ایرلند برای سفر جای خوبی است.,Ireland is a good place for travel.,,
"stand, stand up",A2,verb,ایستادن,X,istâdan,روی پا بلند شدن,X,لطفاً اینجا بایست.,Please stand here.,,
station,A2,noun,ایستگاه,X,istgâh,جایی که قطار یا اتوبوس می‌ایستد,X,ایستگاه قطار دور است.,The train station is far away.,,
bus stop,A2,noun,ایستگاه اتوبوس,X,istgâh-e otobus,جایی که اتوبوس می‌ایستد,X,ایستگاه اتوبوس نزدیک خانه است.,The bus stop is near the house.,,
Iceland,A2,noun,ایسلند,X,island,کشوری سرد با یخ و آتش‌فشان,X,ایسلند جزیره‌ای سرد است.,Iceland is a cold island.,,
"he, she, they (honorific)",A2,pronoun,ایشان,X,išân,ضمیرِ محترمانه برای یک نفر یا چند نفر,X,ایشان معلم ما هستند.,He is our teacher.,,
"faith, belief",B2,noun,ایمان,X,imân,باور دینی و اعتماد قلبی,X,ایمانِ او در شرایطِ سخت هم تغییر نکرد.,His faith did not change even in difficult circumstances.,,
faithful,B2,adjective,ایمان‌دار,X,imân-dâr,دارای باور دینی,X,او آدمِ ایمان‌داری است و به قولش عمل می‌کند.,He is a faithful person and keeps his word.,,
believer,B2,noun,ایمان‌دار,X,imân-dâr,کسی که باور دینی دارد,X,او خودش را یک ایمان‌دار می‌داند و به اصولش پایبند است.,He considers himself a believer and sticks to his principles.,,
"safe, secure",B1,adjective,ایمن,X,imen,در خطر نبودن,X,این کوچه شب‌ها ایمن‌تر از قبل شده است.,This alley has become safer at night than before.,,
safety,B1,noun,ایمنی,X,imeni,حالتِ امن بودن,X,قبل از روشن کردن اجاق، نکات ایمنی را چک کن.,"Before turning on the stove, check the safety points.",,
email,A1,noun,ایمیل,X,imeyl,نامهٔ الکترونیکی,X,برای کار یک ایمیل برای تو می‌فرستم.,I’ll send you an email for work.,,
this,A1,pronoun,این,X,in,ضمیر برای چیز یا نفر نزدیک,X,این آدرس روی پاکت درست است.,This address on the envelope is correct.,,
internet,A1,noun,اینترنت,X,internet,شبکه‌ای جهانی برای دیدنِ سایت‌ها,X,من برای دیدن این سایت به اینترنت نیاز دارم.,I need the internet to visit this site.,,
here,A1,adverb,اینجا,X,injâ,در این محل نزدیک به گوینده,X,اینجا دستشویی است.,The restroom is here.,,
"like this, like that",A2,adverb,این‌طور,X,intowr,به این شکل یا به آن شکل,X,من این‌طور فکر می‌کنم.,I think like this.,,
with,A1,preposition,با,X,bâ,حرف اضافه برای همراهی,X,من با تاکسی می‌روم.,I go by taxi.,,
together,A1,adverb,با هم,X,bâ ham,با یکدیگر,X,ما با هم چای می‌خوریم و حرف می‌زنیم.,We drink tea together and talk.,,
polite,A2,adjective,باادب,X,bâadab,مودب و با احترام,X,او باادب است و سلام می‌کند.,He is polite and says hello.,,
dad,A1,noun,بابا,X,bâbâ,پدر,X,بابا در آشپزخانه چای درست می‌کند.,Dad is making tea in the kitchen.,,
wind,A1,noun,باد,X,bâd,حرکتِ جریانِ طبیعیِ هوا در فضایِ بیرون,X,باد می‌آید.,The wind is blowing.,,
bar,A2,noun,بار,X,bâr,جایی برای نوشیدن و نشستن,X,ما امشب به یک بار می‌رویم.,Tonight we are going to a bar.,,
"time, instance",B1,noun,بار,X,bâr,هر دفعه,X,این بار می‌خواهم زودتر تصمیم بگیرم تا وقت تلف نشود.,This time I want to decide sooner so that time isn’t wasted.,,
rain,A1,noun,باران,X,bârân,آبی که از آسمان می‌ریزد,X,باران زیاد است و خیابان خیس است.,"There is a lot of rain, and the street is wet.",,
"loading, download",B2,noun,بارگیری,X,bârgiri,عملِ قرار دادنِ کالا در وسیله نقلیه,X,عملیات بارگیری کالا در بندر به علت طوفان متوقف شد.,The loading operations at the port were stopped due to a storm.,,
download,B2,verb,بارگیری کردن,X,bârgiri kardan,انتقالِ محموله یا اطلاعات,X,خدمه در حال بارگیری کردن محموله‌های سنگین به کشتی هستند.,The crew is loading heavy cargo onto the ship.,,
rain,A1,verb,باریدن,X,bâridan,ریختنِ قطره‌ها از آسمان,X,امروز باران می‌بارد.,Today it is raining.,,
open,A1,adjective,باز,X,bâz,نه بسته و در دسترس,X,در باز است، بیا داخل.,"The door is open, come inside.",,
open,A2,verb,باز شدن,X,bâz šodan,باز شدنِ یک در یا پنجره,X,درِ مغازه ساعت هشت باز می‌شود.,The store opens at eight o’clock.,,Duplicate
open,A2,verb,باز کردن,X,bâz kardan,باز کردنِ یک در یا پنجره,X,من در را باز می‌کنم.,I open the door.,,Duplicate
market,A2,noun,بازار,X,bâzâr,جایی برای خرید و فروش,X,بازار امروز خیلی شلوغ است.,The market is very crowded today.,,
recognize,C,verb,بازشناختن,X,bâzšenâxtan,با دقت شناختن و از چیزهای مشابه جدا کردن,X,در میان انبوه گزارش‌ها، او تنها با دیدن یک خطِ آشنا، دست‌خطِ همکارش را بازشناخت.,"Amid the mass of reports, he recognized his colleague’s handwriting just by seeing one familiar line.",,
retirement,B2,noun,بازنشستگی,X,bâznešastegi,دورانِ پس از پایانِ شغل,X,او پس از سی سال خدمت صادقانه، به افتخار بازنشستگی نائل آمد.,"After thirty years of faithful service, he was honored with retirement.",,
retired,A2,adjective,بازنشسته,X,bâznešaste,کسی که دیگر کار نمی‌کند,X,پدر بزرگ من دیگر کار نمی‌کند؛ او بازنشسته است.,"My grandfather is no longer working, he is retired.",,
arm,A1,noun,بازو,X,bâzu,بخش میان شانه و دست,X,بازوی من بعد از ورزش درد می‌کند.,My arm hurts after exercising.,,
game,A1,noun,بازی,X,bâzi,کاری برای سرگرمی,X,این بازی روی گوشی سخت است.,This game on the phone is hard.,,
play,A1,verb,بازی کردن,X,bâzi kardan,انجام دادن سرگرمی یا مسابقه,X,بعد از مدرسه فوتبال بازی می‌کنم.,After school I play soccer.,,
player,A2,noun,بازیکن,X,bâzikon,کسی که در بازی یا ورزش بازی می‌کند,X,او بازیکن تیم ما است.,He is a player on our team.,,
garden,A2,noun,باغ,X,bâġ,زمینی که در آن درختانِ میوه و گل کاشته‌اند,X,ما در باغ خود درختان سیب و گیلاس داریم و هر سال میوه می‌چینیم.,We have apple and cherry trees in our garden and pick fruit every year.,,
"finally, at last",B1,adverb,بالاخره,X,bel-axare,بعد از یک صبر یا زمانِ طولانی,X,پس از سه ساعت انتظار، بالاخره اتوبوس آمد.,"After waiting for three hours, the bus finally arrived.",,
pillow,A2,noun,بالش,X,bâleš,چیزی نرم که موقع خواب زیرِ سر می‌گذاریم,X,من یک بالش نرم زیر سرم می‌گذارم.,I put a soft pillow under my head.,,
bank,A1,noun,بانک,X,bânk,جایی برای نگهداری پول,X,من به بانک می‌روم تا کمی پول بگیرم.,I am going to the bank to get some money.,,
banker,B1,noun,بانکدار,X,bânk-dâr,متخصصِ امور بانکی,X,او به عنوان یک بانکدار، مسئول مدیریت وام‌های بزرگ مشتریان است.,"As a banker, he is responsible for managing large loans for customers.",,
banking,B2,noun,بانکداری,X,bânkdâri,صنعت و عملیاتِ بانکی,X,سیستم بانکداری مدرن بر پایه تراکنش‌های الکترونیکی و امنیت سایبری بنا شده است.,The modern banking system is built on electronic transactions and cybersecurity.,,
"smart, intelligent",A1,adjective,باهوش,X,bâ-huš,دارای هوشِ زیاد,X,او در کلاس باهوش است و جواب می‌دهد.,He is smart in class and answers.,,
belief,B1,noun,باور,X,bâvar,پذیرفتنِ یک فکر به عنوان درست,X,باورِ من این است که باید راست‌گو باشیم.,My belief is that we should be honest.,,
believe,B1,verb,باور کردن,X,bâvar kardan,پذیرفتنِ یک فکر به عنوان درست,X,من حرفِ او را باور نمی‌کنم.,I don’t believe what he says.,,
"excuse me, I'm sorry",A1,interjection,ببخشید,X,bebaxšid,برای عذرخواهی یا جلب توجه,X,ببخشید، دستشویی کجاست؟,"Excuse me, where is the restroom?",,
child,A1,noun,بَچه,X,bačče,کودک,X,بَچه در تخت خواب است.,The child is in bed.,,
"merciful, gracious, generous, liberal, forgiving",B1,adjective,بخشنده,X,baxšande,کسی که دیگران را می‌بخشد,X,خداوند بسیار بخشنده است و خطاهای انسان‌ها را می‌بخشد.,God is very forgiving and forgives human mistakes.,,
bad,A1,adjective,بد,X,bad,خوب نبودن,X,این شیر بد شده است.,This milk has gone bad.,,
badly veiled,B2,adjective,بدحجاب,X,bad-hejâb,با پوششی که از نظر جامعه نامناسب شمرده می‌شود,X,در رسانه‌ها گاهی به پوشش برخی زنان برچسب بدحجاب می‌زنند و از همین واژه برای داوری اجتماعی استفاده می‌شود.,"In the media, they sometimes label some women’s clothing badly veiled and use that word for social judgment.",,
infamous,B2,adjective,بدنام,X,badnâm,دارای شهرتِ بد,X,به خاطر چند پروندهٔ فساد، آن مدیر بدنام شد و دیگر کسی به او اعتماد نکرد.,"Because of several corruption cases, that manager became infamous and no one trusted him anymore.",,
debt,B1,noun,بدهی,X,bedehi,پولی که باید پس بدهیم,X,او به خاطر خرید خانه، بدهی زیادی به بانک دارد که باید ماهانه بپردازد.,"He owes a lot of money to the bank to buy a house, which he has to pay off every month.",,
without,A2,preposition,بدون,X,bedun-e,حرف اضافه برای نبودنِ همراه,X,من بدونِ پول بیرون نمی‌روم.,I don’t go out without money.,,
equal,B1,adjective,برابر,X,barâbar,هم‌سطح و یکسان,X,حقوقِ زن و مرد باید برابر باشد.,The rights of women and men must be equal.,,
